time_s,gps_x,gps_y,est_x,est_y,heading_deg,cmd_robot
0.043,NaN,NaN,0.000,0.000,0.00,stop
0.093,NaN,NaN,0.000,0.000,0.00,stop
0.143,NaN,NaN,0.000,0.000,0.00,stop
0.193,NaN,NaN,0.000,0.000,0.00,stop
0.243,NaN,NaN,0.000,0.000,0.00,stop
0.293,NaN,NaN,0.000,0.000,0.00,stop
0.343,NaN,NaN,0.000,0.000,0.00,stop
0.393,NaN,NaN,0.000,0.000,0.00,stop
0.443,NaN,NaN,0.000,0.000,0.00,stop
0.493,NaN,NaN,0.000,0.000,0.00,stop
0.543,NaN,NaN,0.000,0.000,0.00,stop
0.593,NaN,NaN,0.000,0.000,0.00,stop
0.643,NaN,NaN,0.000,0.000,0.00,stop
0.693,NaN,NaN,0.000,0.000,0.00,stop
0.743,NaN,NaN,0.000,0.000,0.00,stop
0.793,NaN,NaN,0.000,0.000,0.00,stop
0.843,NaN,NaN,0.000,0.000,0.00,stop
0.893,NaN,NaN,0.000,0.000,0.00,stop
0.943,NaN,NaN,0.000,0.000,0.00,stop
0.993,NaN,NaN,0.000,0.000,0.00,stop
1.043,NaN,NaN,0.000,0.000,0.00,stop
1.093,NaN,NaN,0.000,0.000,0.00,stop
1.143,NaN,NaN,0.000,0.000,0.00,stop
1.193,NaN,NaN,0.000,0.000,0.00,stop
1.243,NaN,NaN,0.000,0.000,0.00,stop
1.293,NaN,NaN,0.000,0.000,0.00,stop
1.343,NaN,NaN,0.000,0.000,0.00,stop
1.393,NaN,NaN,0.000,0.000,0.00,stop
1.443,NaN,NaN,0.000,0.000,0.00,stop
1.493,NaN,NaN,0.000,0.000,0.00,stop
1.543,NaN,NaN,0.000,0.000,0.00,stop
1.593,NaN,NaN,0.000,0.000,0.00,stop
1.643,NaN,NaN,0.000,0.000,0.00,stop
1.693,NaN,NaN,0.000,0.000,0.00,stop
1.743,NaN,NaN,0.000,0.000,0.00,stop
1.793,NaN,NaN,0.000,0.000,0.00,stop
1.843,NaN,NaN,0.000,0.000,0.00,stop
1.893,NaN,NaN,0.000,0.000,0.00,stop
1.943,NaN,NaN,0.000,0.000,0.00,stop
1.993,NaN,NaN,0.000,0.000,0.00,stop
2.043,NaN,NaN,0.000,0.000,0.00,stop
2.093,NaN,NaN,0.000,0.000,0.00,stop
2.143,NaN,NaN,0.000,0.000,0.00,stop
2.193,NaN,NaN,0.000,0.000,0.00,stop
2.243,NaN,NaN,0.000,0.000,0.00,stop
2.293,NaN,NaN,0.000,0.000,0.00,stop
2.343,NaN,NaN,0.000,0.000,0.00,stop
2.393,NaN,NaN,0.000,0.000,0.00,stop
2.443,NaN,NaN,0.000,0.000,0.00,stop
2.493,NaN,NaN,0.000,0.000,0.00,stop
2.543,NaN,NaN,0.000,0.000,0.00,stop
2.593,NaN,NaN,0.000,0.000,0.00,stop
2.643,NaN,NaN,0.000,0.000,0.00,stop
2.693,NaN,NaN,0.000,0.000,0.00,stop
2.743,NaN,NaN,0.000,0.000,0.00,stop
2.793,NaN,NaN,0.000,0.000,0.00,stop
2.843,NaN,NaN,0.000,0.000,0.00,stop
2.893,NaN,NaN,0.000,0.000,0.00,stop
2.943,NaN,NaN,0.000,0.000,0.00,stop
2.993,NaN,NaN,0.000,0.000,0.00,stop
3.043,NaN,NaN,0.000,0.000,0.00,stop
3.093,NaN,NaN,0.000,0.000,0.00,stop
3.143,NaN,NaN,0.000,0.000,0.00,stop
3.193,NaN,NaN,0.000,0.000,0.00,stop
3.243,NaN,NaN,0.000,0.000,0.00,stop
3.293,NaN,NaN,0.000,0.000,0.00,stop
3.343,NaN,NaN,0.000,0.000,0.00,stop
3.393,NaN,NaN,0.000,0.000,0.00,stop
3.443,NaN,NaN,0.000,0.000,0.00,stop
3.493,NaN,NaN,0.000,0.000,0.00,stop
3.543,NaN,NaN,0.000,0.000,0.00,stop
3.593,NaN,NaN,0.000,0.000,0.00,stop
3.643,NaN,NaN,0.000,0.000,0.00,stop
3.693,NaN,NaN,0.000,0.000,0.00,stop
3.743,NaN,NaN,0.000,0.000,0.00,stop
3.793,NaN,NaN,0.000,0.000,0.00,stop
3.843,NaN,NaN,0.000,0.000,0.00,stop
3.893,NaN,NaN,0.000,0.000,0.00,stop
3.943,NaN,NaN,0.000,0.000,0.00,stop
3.993,NaN,NaN,0.000,0.000,0.00,stop
4.043,NaN,NaN,0.000,0.000,0.00,stop
4.093,NaN,NaN,0.000,0.000,0.00,stop
4.143,NaN,NaN,0.000,0.000,0.00,stop
4.193,NaN,NaN,0.000,0.000,0.00,stop
4.243,NaN,NaN,0.000,0.000,0.00,stop
4.293,NaN,NaN,0.000,0.000,0.00,stop
4.343,NaN,NaN,0.000,0.000,0.00,stop
4.393,NaN,NaN,0.000,0.000,0.00,stop
4.443,NaN,NaN,0.000,0.000,0.00,stop
4.493,NaN,NaN,0.000,0.000,0.00,stop
4.543,NaN,NaN,0.000,0.000,0.00,stop
4.593,NaN,NaN,0.000,0.000,0.00,stop
4.643,NaN,NaN,0.000,0.000,0.00,stop
4.693,NaN,NaN,0.000,0.000,0.00,stop
4.743,NaN,NaN,0.000,0.000,0.00,stop
4.793,NaN,NaN,0.000,0.000,0.00,stop
4.843,NaN,NaN,0.000,0.000,0.00,stop
4.893,NaN,NaN,0.000,0.000,0.00,stop
4.943,NaN,NaN,0.000,0.000,0.00,stop
4.993,NaN,NaN,0.000,0.000,0.00,stop
5.043,NaN,NaN,0.000,0.000,0.00,stop
5.093,NaN,NaN,0.000,0.000,0.00,stop
5.143,NaN,NaN,0.000,0.000,0.00,stop
5.193,NaN,NaN,0.000,0.000,0.00,stop
5.243,NaN,NaN,0.000,0.000,0.00,stop
5.293,NaN,NaN,0.000,0.000,0.00,stop
5.343,NaN,NaN,0.000,0.000,0.00,stop
5.393,NaN,NaN,0.000,0.000,0.00,stop
5.443,NaN,NaN,0.000,0.000,0.00,stop
5.493,NaN,NaN,0.000,0.000,0.00,stop
5.543,NaN,NaN,0.000,0.000,0.00,stop
5.593,NaN,NaN,0.000,0.000,0.00,stop
5.643,NaN,NaN,0.000,0.000,0.00,stop
5.693,NaN,NaN,0.000,0.000,0.00,stop
5.743,NaN,NaN,0.000,0.000,0.00,stop
5.793,NaN,NaN,0.000,0.000,0.00,stop
5.843,NaN,NaN,0.000,0.000,0.00,stop
5.893,NaN,NaN,0.000,0.000,0.00,stop
5.943,NaN,NaN,0.000,0.000,0.00,stop
5.993,NaN,NaN,0.000,0.000,0.00,stop
6.043,NaN,NaN,0.000,0.000,0.00,stop
6.093,NaN,NaN,0.000,0.000,0.00,stop
6.143,NaN,NaN,0.000,0.000,0.00,stop
6.193,NaN,NaN,0.000,0.000,0.00,stop
6.243,NaN,NaN,0.000,0.000,0.00,stop
6.293,NaN,NaN,0.000,0.000,0.00,stop
6.343,NaN,NaN,0.000,0.000,0.00,stop
6.393,NaN,NaN,0.000,0.000,0.00,stop
6.443,NaN,NaN,0.000,0.000,0.00,stop
6.493,NaN,NaN,0.000,0.000,0.00,stop
6.543,NaN,NaN,0.000,0.000,0.00,stop
6.593,NaN,NaN,0.000,0.000,0.00,stop
6.643,NaN,NaN,0.000,0.000,0.00,stop
6.693,NaN,NaN,0.000,0.000,0.00,stop
6.743,NaN,NaN,0.000,0.000,0.00,stop
6.793,NaN,NaN,0.000,0.000,0.00,stop
6.843,NaN,NaN,0.000,0.000,0.00,stop
6.893,NaN,NaN,0.000,0.000,0.00,stop
6.943,NaN,NaN,0.000,0.000,0.00,stop
6.993,NaN,NaN,0.000,0.000,0.00,stop
7.043,NaN,NaN,0.000,0.000,0.00,stop
7.093,NaN,NaN,0.000,0.000,0.00,stop
7.143,NaN,NaN,0.000,0.000,0.00,stop
7.193,NaN,NaN,0.000,0.000,0.00,stop
7.243,NaN,NaN,0.000,0.000,0.00,stop
7.293,NaN,NaN,0.000,0.000,0.00,stop
7.343,NaN,NaN,0.000,0.000,0.00,stop
7.393,NaN,NaN,0.000,0.000,0.00,stop
7.443,NaN,NaN,0.000,0.000,0.00,stop
7.493,NaN,NaN,0.000,0.000,0.00,stop
7.543,NaN,NaN,0.000,0.000,0.00,stop
7.593,NaN,NaN,0.000,0.000,0.00,stop
7.643,NaN,NaN,0.000,0.000,0.00,stop
7.693,NaN,NaN,0.000,0.000,0.00,stop
7.743,NaN,NaN,0.000,0.000,0.00,stop
7.793,NaN,NaN,0.000,0.000,0.00,stop
7.843,NaN,NaN,0.000,0.000,0.00,stop
7.893,NaN,NaN,0.000,0.000,0.00,stop
7.943,NaN,NaN,0.000,0.000,0.00,stop
7.993,NaN,NaN,0.000,0.000,0.00,stop
8.043,NaN,NaN,0.000,0.000,0.00,stop
8.093,NaN,NaN,0.000,0.000,0.00,stop
8.143,NaN,NaN,0.000,0.000,0.00,stop
8.193,NaN,NaN,0.000,0.000,0.00,stop
