time_s,x_north,y_east,goal_x,goal_y,desired_heading_deg,heading_deg,heading_error_deg,dist,forward_locked,cmd
3.159,0.011,0.000,-1.607,21.439,94.32,343.50,110.82,21.500,0,turn_left
3.209,0.011,0.000,-1.607,21.439,94.32,343.50,110.82,21.500,0,turn_left
3.259,0.011,0.000,-1.607,21.439,94.32,343.50,110.82,21.500,0,turn_left
3.309,0.011,0.000,-1.607,21.439,94.32,343.50,110.82,21.500,0,turn_left
3.359,0.011,0.000,-1.607,21.439,94.32,343.50,110.82,21.500,0,turn_left
3.409,0.011,0.000,-1.607,21.439,94.32,343.50,110.82,21.500,0,turn_left
3.459,0.011,0.000,-1.607,21.439,94.32,343.50,110.82,21.500,0,turn_left
3.509,0.011,0.000,-1.607,21.439,94.32,343.50,110.82,21.500,0,turn_left
3.559,0.011,0.000,-1.607,21.439,94.32,343.50,110.82,21.500,0,turn_left
3.609,0.011,0.000,-1.607,21.439,94.32,343.50,110.82,21.500,0,turn_left
3.659,0.011,0.000,-1.607,21.439,94.32,343.50,110.82,21.500,0,turn_left
3.709,0.011,0.000,-1.607,21.439,94.32,343.50,110.82,21.500,0,turn_left
3.759,0.011,0.000,-1.607,21.439,94.32,343.50,110.82,21.500,0,turn_left
3.809,0.011,0.000,-1.607,21.439,94.32,343.50,110.82,21.500,0,turn_left
3.859,0.011,0.000,-1.607,21.439,94.32,343.50,110.82,21.500,0,turn_left
3.909,0.011,0.000,-1.607,21.439,94.32,343.50,110.82,21.500,0,turn_left
3.959,0.011,0.000,-1.607,21.439,94.32,343.50,110.82,21.500,0,turn_left
4.009,0.011,0.000,-1.607,21.439,94.32,343.50,110.82,21.500,0,turn_left
4.059,0.011,0.000,-1.607,21.439,94.32,343.50,110.82,21.500,0,turn_left
4.109,0.011,0.000,-1.607,21.439,94.32,343.50,110.82,21.500,0,turn_left
4.159,0.011,0.000,-1.607,21.439,94.32,343.50,110.82,21.500,0,turn_left
4.209,0.011,0.000,-1.607,21.439,94.32,343.50,110.82,21.500,0,turn_left
4.259,0.011,0.000,-1.607,21.439,94.32,343.50,110.82,21.500,0,turn_left
4.309,0.011,0.000,-1.607,21.439,94.32,343.50,110.82,21.500,0,turn_left
4.359,0.011,0.000,-1.607,21.439,94.32,343.50,110.82,21.500,0,turn_left
4.409,0.011,0.000,-1.607,21.439,94.32,343.50,110.82,21.500,0,turn_left
